offering_id	avg_rating	hotel_class	locality	name	region_id
1872507	5.0	4.0	New York City	Thompson Hotel	60763
1961981	5.0	2.0	El Paso	Candlewood Suites El Paso North	60768
2712053	5.0	3.0	Houston	Staybridge Suites Houston Iah - Beltway 8	56003
3191802	5.0	3.0	Houston	Residence Inn Houston I-10 West	56003
3393901	5.0	3.0	Houston	Hilton Garden Inn Houston NW America Plaza	56003
1175274	4.86013986013986	5.0	San Francisco	Fairmont Heritage Place, Ghirardelli Square	60713
2196840	4.822222222222222	3.5	Baltimore	Inn at The Black Olive	60811
781627	4.805045871559633	5.0	San Diego	The Grand Del Mar	60750
1516481	4.804794520547945	5.0	Chicago	Waldorf Astoria Chicago	35805
2322597	4.777070063694268	5.0	Baltimore	Four Seasons Baltimore	60811
2627745	4.757575757575758	4.0	Phoenix	Hotel Palomar Phoenix - a Kimpton Hotel	31310
268155	4.75	3.0	San Diego	Residence Inn San Diego Scripps Poway Parkway	60750
559491	4.75	2.5	Houston	Holiday Inn Express Houston East	56003
1218737	4.75	2.5	Houston	La Quinta Inn & Suites Houston - Normandy	56003
1929352	4.744186046511628	3.0	San Antonio	Drury Plaza Hotel San Antonio North	60956
1465151	4.742857142857143	3.0	Fort Worth	Staybridge Suites West Fort Worth	55857
1152288	4.742671009771987	5.0	Seattle	Four Seasons Hotel Seattle	60878
80983	4.730263157894737	4.0	San Francisco	Hotel Drisco	60713
113317	4.727551020408163	4.0	New York City	Casablanca Hotel Times Square	60763
1572980	4.725409836065574	4.0	New York City	Crosby Street Hotel	60763
258705	4.725113122171946	4.0	Boston	Hotel Commonwealth	60745
674283	4.716369529983792	5.0	Chicago	Trump International Hotel & Tower Chicago	35805
1235363	4.714285714285714	2.5	Jacksonville	BEST WESTERN PLUS Cecil Field Inn & Suites	60805
1199588	4.711323763955343	3.5	Seattle	Cedarbrook Lodge	60878
73445	4.704081632653061	3.0	Houston	BEST WESTERN PLUS Westchase Mini-Suites	56003
100507	4.703703703703703	4.0	Seattle	Inn at the Market	60878
73943	4.6929637526652455	5.0	Phoenix	Royal Palms Resort and Spa	31310
1859056	4.6927536231884055	3.5	Denver	Embassy Suites Denver - Downtown / Convention Center	33388
1566945	4.683179723502304	4.0	Chicago	Palomar Chicago, a Kimpton Hotel	35805
1762662	4.682926829268292	2.5	Austin	La Quinta Inn & Suites Austin/Cedar Park/Lakeline	30196
225105	4.682758620689655	5.0	Chicago	The Peninsula Chicago	35805
3186945	4.681818181818182	3.0	Philadelphia	Homewood Suites University City	60795
224221	4.680867544539117	4.0	New York City	Library Hotel	60763
2351689	4.68	2.5	El Paso	Comfort Inn & Suites I-10 Airport	60768
1503474	4.6790378006872855	3.5	New York City	Distrikt Hotel	60763
1239568	4.666666666666667	2.0	Indianapolis	Candlewood Suites Indianapolis Northwest	37209
