locality	cnt	avg_rating
New York City	103516	4.069844275281116
Chicago	30785	4.117102484976449
San Francisco	30065	4.0549476135040745
Boston	20425	4.209498164014688
San Diego	14199	3.989858440735263
Washington DC	13392	4.225358422939068
Seattle	11581	4.26008116742941
Los Angeles	9925	3.96544080604534
San Antonio	7138	4.119501260857383
Dallas	7002	4.085261353898886
Philadelphia	6152	4.1762028608582575
Denver	4571	4.169109604025377
Houston	4424	4.024186256781194
Phoenix	4269	4.137034434293746
Austin	4013	4.031896336905058
Baltimore	2819	4.143313231642426
Charlotte	1642	3.9786845310596832
Memphis	1532	4.067885117493472
Detroit	1441	4.171408743927828
San Jose	1348	3.865727002967359
Indianapolis	1345	4.20817843866171
Columbus	694	3.877521613832853
Fort Worth	541	4.199630314232902
Jacksonville	213	4.023474178403756
