locality	hotel_class	avg_rating
Boston	5.0	4.142857142857143
Boston	4.5	3.937360178970917
Boston	4.0	4.0635683760683765
Boston	3.5	3.8757396449704142
Boston	3.0	3.7372549019607844
Boston	2.5	3.6666666666666665
Boston	2.0	3.0816326530612246
San Francisco	5.0	4.401084010840108
San Francisco	4.5	4.275449101796407
San Francisco	4.0	3.867027334851936
San Francisco	3.5	4.084444444444444
San Francisco	3.0	3.9739463601532568
San Francisco	2.5	3.4467120181405897
San Francisco	2.0	3.6719775070290535
San Francisco	1.5	2.310344827586207
San Antonio	4.5	4.057471264367816
San Antonio	4.0	3.90625
San Antonio	3.5	3.643884892086331
San Antonio	3.0	4.137883008356546
San Antonio	2.5	3.9206798866855523
San Antonio	2.0	2.978494623655914
San Antonio	1.5	3.0
Chicago	5.0	4.435582822085889
Chicago	4.5	4.221690590111643
Chicago	4.0	3.741398865784499
Chicago	3.5	3.9569767441860466
Chicago	3.0	3.9780658025922233
Chicago	2.5	3.6809815950920246
Chicago	2.0	3.2783505154639174
Chicago	1.5	3.142857142857143
Washington DC	5.0	4.082222222222223
Washington DC	4.5	4.341176470588235
Washington DC	4.0	3.91988416988417
Washington DC	3.5	3.805892547660312
Washington DC	3.0	3.9255172413793105
Washington DC	2.5	3.5612903225806454
Washington DC	2.0	2.9893617021276597
New York City	5.0	4.0456674473067915
New York City	4.5	3.988527724665392
New York City	4.0	3.9163328053666264
New York City	3.5	4.055625790139064
New York City	3.0	3.9225289403383794
New York City	2.5	3.156378600823045
New York City	2.0	3.477386934673367
New York City	1.5	1.959322033898305
New York City	1.0	2.1846153846153844
Seattle	5.0	4.443478260869565
Seattle	4.5	4.490196078431373
Seattle	4.0	3.9663105998356616
Seattle	3.5	3.8388429752066116
Seattle	3.0	3.852327447833066
Seattle	2.5	3.7845036319612593
Seattle	2.0	3.0625
Seattle	1.5	2.0434782608695654
Seattle	1.0	2.6666666666666665
Denver	5.0	4.36
Denver	4.5	3.9603960396039604
Denver	4.0	3.769230769230769
Denver	3.5	3.7882882882882885
Denver	3.0	3.8536585365853657
Denver	2.5	4.0368663594470044
Denver	2.0	3.02
Denver	1.5	1.3333333333333333
Denver	1.0	1.0
Detroit	4.5	3.588235294117647
Detroit	4.0	3.8823529411764706
Detroit	3.5	3.869565217391304
Detroit	3.0	3.735294117647059
Detroit	2.5	3.4074074074074074
Detroit	2.0	2.0
Memphis	4.5	4.34375
Memphis	4.0	3.676829268292683
Memphis	3.5	3.6752767527675276
Memphis	3.0	3.76036866359447
Memphis	2.5	4.043795620437956
Memphis	2.0	3.496774193548387
Memphis	1.5	1.0
Memphis	1.0	1.5
Dallas	5.0	4.148148148148148
Dallas	4.5	3.8444444444444446
Dallas	4.0	3.891840607210626
Dallas	3.5	3.42603550295858
Dallas	3.0	3.5606060606060606
Dallas	2.5	3.8372093023255816
Dallas	2.0	3.0454545454545454
Dallas	1.5	2.0
Phoenix	5.0	4.2926829268292686
Phoenix	4.5	3.612987012987013
Phoenix	4.0	4.028985507246377
Phoenix	3.5	3.668257756563246
Phoenix	3.0	3.574626865671642
Phoenix	2.5	3.9304347826086956
Phoenix	2.0	3.4782608695652173
